,contents
393," 지난 7~10일(현지시간) 미국 라스베이거스에서 열렸던 세계 최대 가전·정보기술(IT) 전시회 ‘CES 2020’에서는 중국 업체들의 ‘폴더블(foldable·접을 수 있는)’ 기기 열전이 펼쳐졌다. 화웨이부터 레노버, 샤오미, TCL, 로욜 등 수많은 중국 업체들이 폴더블 스마트폰은 물론 폴더블 태블릿PC 등까지 줄줄이 공개하면서 ‘폴더블 대전(大戰)’을 예고했다.화웨이는 이번 CES에서 지난해 11월 중국에서만 출시했던 폴더블폰 ‘메이트X’를 공개했다. 중국 출시 1분 만에 준비한 물량이 매진되는 등 인기를 끌었던 메이트X를 해외 전시에서 체험할 수 있도록 선보인 것은 이번이 처음이다. 화웨이는 다음달 열릴 ‘MWC 2020’을 통해 폴더블폰 차기작인 ‘메이트XS’를 공개하고 유럽 등에 판매할 계획도 소개했다.레노버는 CES를 통해 연내 출시 예정인 폴더블 태블릿인 ‘씽크패드 X1 폴드’를 선보였다. 이 제품은 LG디스플레이(034220)의 플렉시블 유기발광다이오드(OLED) 기반 폴더블 디스플레이 패널을 탑재했다. 13인치 4:3 OLED 2K 디스플레이를 적용한 태블릿으로, 화면을 완전히 펼쳐 태블릿으로 사용하다가 반을 접어 노트북으로 사용할 수도 있다.레노버는 2014년 구글로부터 인수한 모토로라를 통해 폴더블폰 ‘레이저’도 공개했다. 모토로라는 삼성전자(005930)가 차기 폴더블 스마트폰 폼팩터로 채택한 ‘클램셸(조개껍데기)’ 방식을 적용했다. 화면이 위에서 아래로 접히는 구조다. 애초 지난해 말 출시를 계획했으나 올해로 출시 시점을 미뤘다.지난해 1월 열린 ‘CES 2019’에서 세계 최초 폴더블폰 ‘플렉스파이’를 공개하며 주목받았던 로욜은 올해도 플렉스파이를 다시 꺼내 전시했다. 로욜은 플렉스파이를 중국에서 한정적으로 판매해왔으나 올해부터는 일부 해외 시장에도 판매한다는 계획이다. 다만 기술력 및 활용성 부분에서 삼성전자의 ‘갤럭시폴드’와 화웨이 메이트X보다 크게 뒤떨어진다는 평가를 받고 있어 시장에서 성공을 거둘지는 의문이다.여기에 TCL은 지난해 9월 열린 ‘IFA 2019’에서 공개했던 폴더블폰과 폴더블 태블릿 시제품을 이번 CES에서도 선보였다. 샤오미도 그간 주목을 받았던 폴더블폰 시제품을 공개하지는 않았지만 연내 출시하겠다는 계획을 밝혔다. 원플러스도 폴더블폰인 ‘원플러스 콘셉트 원’의 시제품을 소개하며 폴더블폰 경쟁에 본격적으로 뛰어들었다.업계에서는 중국 업체들이 폴더블 관련 기기를 줄줄이 선보이고 있는 것을 두고 중국 현지 시장 경쟁 심화에 따라 이들이 자신들의 기술력을 과시하기 위한 결과물이라고 보고 있다.실제 이번 CES에서는 중국 업체를 제외하고는 다른 국적 업체의 폴더블 관련 전시는 찾아보기 어려웠다. 삼성전자가 지난해 출시한 갤럭시폴드 체험존을 마련한 것이 전부였다. LG전자(066570)는 LG(003550) 계열사인 LG디스플레이가 레노버에 폴더블 디스플레이를 공급했음에도 폴더블 시장이 아직 시기상조라는 입장을 유지하면서 관련 신제품 계획을 공개하지 않았다. 애플 등 다른 업체 사이에서도 별다른 움직임은 포착되지 않았다.업계의 한 관계자는 “중국 시장을 두고 현지 업체들이 서로 비슷한 제품으로 치열한 경쟁을 펼치고 있다 보니 폴더블과 같은 차별화 요소에 특히 집착하는 것으로 보인다”라며 “신기술이 무르익기도 전에 제품을 먼저 선보이면서 기술력을 과시하고 인지도를 높이기 위한 것”이라고 말했다. 그러면서 “최근에는 폴더블을 넘어 롤러블(rollable·둘둘 말 수 있는) 기기에도 일부 기업이 관심을 갖고 제품 개발에 열을 올리는 상황”이라고 덧붙였다.한편 중국 업체들의 폴더블 기기 경쟁이 본격화하는 가운데 업계에서는 삼성디스플레이와 LG디스플레이 등 국내 기업이 최대 수혜자로 떠오를 것으로 보고 있다. 전 세계에서 폴더블 디스플레이를 공급할 수 있는 업체가 삼성디스플레이와 LG디스플레이, 중국 BOE 등에 불과하기 때문이다. 특히 BOE는 최근 폴더블 패널 생산라인의 낮은 수율 문제로 생산에 차질을 겪고 있는 것으로 알려졌다. 이에 중국 기업들은 국내 기업에 폴더블 디스플레이 공급 등을 적극 논의 중인 상황이다.김종호 "
394," 국내 PC 출하량이 지난해 윈도10 교체 수요에 힘입어 늘어난 것으로 나타났다.11일 시장조사업체 한국IDC에 따르면 지난해 데스크톱과 노트북을 포함한 국내 PC 출하량이 총 455만대로 전년 대비 7.2% 증가했다.IDC는 ""올해 1월 14일 윈도7 지원 종료에 따른 상업용 PC의 교체가 시장 성장의 주된 요인""이라며 ""공공, 교육, 군부대, 금융 등 주요 산업군은 지난해 대부분 윈도 10 전환을 완료했다""고 설명했다.제품별로는 컨버터블(태블릿 형태로 변형 가능한 노트북)과 15mm 미만 울트라슬림의 성장세가 가장 두드러졌다. 특히 대학생을 중심으로 안드로이드와 iOS 기반의 프리미엄 디태처블(본체와 키보드가 분리 가능한 노트북)의 인기가 높았다.다만 게이밍PC는 고사양을 요구하는 신작 게임의 부재로 2018년 수준의 수요에 머물렀다.권상준 한국IDC 이사는 ""최근 신종 코로나 감염증은 단기적으로 PC 수요에 영향을 미칠 수 있을 것""이라며 ""중국을 비롯한 현지 생산의 둔화로 공급이 원활하지 않을 수 있다""고 우려했다. 이어 ""PC는 안정적인 교체 수요가 존재하고 업무에 반드시 사용해야 하는 필수적인 도구이기에 다른 단말에 비해 신종 코로나의 영향은 제한적일 것""이라고 덧붙였다.윤선훈기자"
395," 남양주시는 27일 정약용도서관에서 다자녀가구 중-고등학생 23명에게 태블릿 PC와 강남구청 인터넷수능방송 수강권을 전달했다. 이날 행사는 ‘땡큐 스마트 기부’ 사업의 일환으로 추진됐으며, 기부 태블릿 PC는 NH농협 남양주시지부에서 다자녀가구 스마트기기 지원을 위해 기탁한 후원금으로 구입했다.   이날 전달식은 조광한 남양주시장, 소병연 농협 남양주시지부장, 조용환 농협 남양주시 출장소장, 5자녀 이상 다자녀가구 중-고등학생 23명과 학부모 15명이 참석한 가운데 진행됐다.   조광한 시장은 “코로나19로 온라인의 중요성이 커짐에 따라 청소년은 온라인 세계에서 재능을 찾아야 한다. 오늘 받은 스마트기기와 수강권을 기회로 삼아 미래 경쟁력을 갖춰나가길 바란다”고 격려했다.   이어 “비대면 세계를 준비하는 미래세대를 위한 가장 효과적인 투자는 노트북 등 스마트기기와 소프트웨어를 제공하는 것이며, 이에 우리 시는 가급적 많은 청소년에게 스마트기기를 공급하기 위한 캠페인을 지속 추진하겠다”고 강조했다.   남양주시는 올해 3월부터 취약계층 학생에게 ‘땡큐 스마트 기부’ 사업을 통해 스마트기기를 무료로 제공해 왔으며, 5월 강남구청과 교육협력 업무협약을 맺고 강남구청 인터넷수능방송 무료수강권도 제공하고 있다.    남양주시 27일 정약용도서관에서 다자녀가구 스마트기기 전달식 개최. 사진제공=남양주시 조광한 시장은 또한 “인구 감소는 사회적 질병으로 국가적으로도 매우 위태로운 상황”이라며“이런 상황에서 제가 남양주시장으로서 할 수 있는 것은 다둥이 주택을 만들어 드리는 것이며, 현재 우리 시는 시범적으로 오남읍에 다둥이 주택사업 추진을 시도하고 있다”고 말했다.   한편 남양주시는 개인사정 등으로 이날 전달식에 참석하지 못한 학생 20명에게 태블릿PC와 수강권을 개별 전달할 예정이며, 이밖에 4자녀 이상 다자녀가구 학생 113명에게는 수강권을 별도 제공할 계획이다.   "
396,현대글로비스 직원들이 24일 분당 자동차 경매장에서 모바일 기기를 이용해 클라우드 경매 시스템 '오토벨 스마트옥션'을 시현하고 있다.[OSEN=
397,"장석웅 전남도교육감은 29일 ""지난 2년 성과를 바탕으로 이제는 혁신을 넘어 미래를 선제적으로 열어가겠다""고 말했다./사진=전남도교육청장석웅 전남도교육감은 29일 ""지난 2년 성과를 바탕으로 이제는 혁신을 넘어 미래를 선제적으로 열어가겠다""고 말했다.장 교육감은 이날 오전 도교육청 대회의실에서 취임 2주년 기념 비대면 기자 브리핑을 갖고 '모두가 빛나는 지속가능한 전남 미래교육' 도약의 의지를 천명했다.그는 ""코로나19가 앞당긴 미래, 저출산 고령화 등으로 지금 교육현장은 새로운 변화와 도전에 직면해 있다""며 ""남은 2년 동안 지속가능한 전남교육 미래 도약의 발판을 착실히 마련해나가겠다""고 했다.특히 ""포스트 코로나 시대에 선제적으로 대비하기 위해 '스마트 전남학교'를 만들겠다""고 강조했다.학습자 친화형 원격수업 플랫폼을 완비하고, 수업용 태블릿 PC와 노트북 보급, 온라인 학습카페와 수업스튜디오 등 미래형 에듀테크를 구축함으로써 이를 현장교육에서 실현시키겠다고 약속했다.장 교육감은▲삶과 앎이 연계된 역량중심 교육과정 ▲작지만 강한 전남형 강소학교 육성 ▲포용과 공정의 책임교육 ▲학습중심 전남교육 전환 ▲자치와 협치의 전남교육 등 5대 핵심과제도 내놓았다.구체적으로는 ▲AI·소프트웨 교육과 연계한 창의융합형 교육과정 운영 ▲작은학교 유형별 운영모델 창출 ▲보편적 생활·학습복지 확충 ▲전문적 학습공동체 일상화 ▲학부모·지역사회 참여기회 확대 등을 제시했다.이와 함께 그는""취임 후 지난 2년 동안 학생의 올곧은 성장과 변화를 최우선 가치로 삼고, 학생과 교실을 중심에 놓는 교육에 매진한 결과 현장에 의미있는 변화들을 일궈냈다""고 자평했다.하지만 납품비리의혹과 관련해 잇따른 경찰 압수수색 등 행정상 아쉬운 부분에 대한 소회도 피력했다.경찰은 지난해 6월 이후 교육청을 두 차례 압수수색했고, 암막스크린 납품업체 관계자와 알선업자 등 5명을 사기 혐의로 불구속 입건한 상태이며, 두 과장을 피의자 신분으로 조사중이다.장 교육감은 ""지난 2년 간 이룬 이런 성과를 더욱 발전시키고 한계점을 보완해 아이들이 지식보다 삶의 역량이 더 중요해지는 미래를 준비할 수 있도록 전남미래교육 종합발전계획을 수립해 학교를 더욱 더 변화시켜 나가겠다""고 밝혔다.남악=홍기철 기자"
398," 삼성전자 갤럭시 폴드와 화웨이 메이트X, 로욜 플렉스파이 등 스마트폰에서 시작된 폴더블 열풍이 올해는 PC로 옮겨왔다. 레노버가 첫 폴더블 PC인 씽크패드 X1 폴드를 올해 중순 출시할 예정이며 델 역시 CES 2020을 통해 시제품인 '컨셉트 오리'를 선보였다.올해 주요 PC 제조사의 폴더블 PC 출시가 줄 이을 전망이다. (사진=지디넷코리아)인텔은 노트북 경험 향상을 위한 아테나 프로젝트에 폴더블 PC를 위한 규격을 추가하는 한편 시제품인 호스슈 벤드(Horseshoe Bend)를 공개했다. 클램셸이나 360도 회전형, 태블릿 등 지금까지 나온 폼팩터에 만족하지 못했던 소비자들의 구매 욕구를 자극하겠다는 의도다.■ 레노버 씽크패드 X1 폴드레노버 씽크패드 X1 폴드는 세계 최초의 폴더블 PC로 지난 해 5월 말 시제품이 공개된 바 있다. 13.3인치, 2048×1536 화소 OLED 디스플레이를 장착하는 등 시제품과 디자인은 크게 달라지지 않았다.6일 레노버가 공개한 폴더블 PC, 씽크패드 X1 폴드. (사진=지디넷코리아)화면이 안으로 접히는 인폴드 방식이며 화면을 절반으로 접으면 스크린 키보드를 이용해 노트북처럼, 화면을 펼치면 13.3인치 모니터를 탑재한 미니 PC처럼 작동한다. 무엇보다 화면을 절반으로 접어 편하게 휴대할 수 있다는 것이 가장 큰 장점으로 꼽힌다.이 제품은 인텔이 개발중인 저전력 기반 플랫폼인 레이크필드(Lakefield) 기반으로 작동한다. 서로 다른 공정에서 생산된 반도체 IP를 자유롭게 쌓아 저전력과 고성능을 모두 추구할 수 있다는 것이 큰 장점이다. 가격은 2천499달러(약 293만원)로 책정됐고 올 중순 출시 예정이다.■ 델 시제품 '컨셉트 오리'델테크놀로지스(이하 델)는 7일(이하 현지시간) 델 익스피리언스 행사를 통해 폴더블 PC 신제품인 컨셉트 오리(Concept Ori)를 공개했다.이 제품 역시 13인치 OLED 디스플레이를 기반으로 완전히 펼친 상태에서는 13.3인치 노트북처럼, 접은 상태에서는 듀얼 스크린처럼 작동한다. 세로 모드를 활용해 문서나 텍스트를 쉽게 읽을 수 있고 왼쪽과 오른쪽에 서로 다른 애플리케이션을 띄워 분리된 화면처럼 활용하는 것도 가능하다.델 폴더블 PC 시제품, 컨셉트 오리. (사진=지디넷코리아)단 레노버 씽크패드 X1 폴드와 달리 컨셉트 오리는 어디까지나 시제품이다. 델 역시 화면 크기 이외에 구체적인 제원을 밝히지 않았고 출시 여부는 미정으로 남아 있다. 그러나 델이 듀얼스크린 등 새로운 폼팩터에 관심을 보이고 있다는 사실만은 분명해 보인다.■ 인텔 시제품 '호스슈 벤드'인텔은 노트북 경험 향상을 위한 아테나 프로젝트에 폴더블 PC 규격을 추가한 데 이어 6일 기자간담회에서 시제품인 '호스슈 벤드'를 공개했다.타이거레이크를 탑재한 인텔 폴더블 PC 시제품, 호스슈 벤드. (사진=지디넷코리아)지금까지 공개된 폴더블 PC가 13인치 내외 OLED 터치스크린을 탑재한 반면 호스슈 벤드는 17인치 대화면을 장착했다. 이 기기를 절반으로 접으면 크기는 13인치대로 줄어든다. 인텔은 ""훨씬 큰 폴더블 기기를 원하는 소비자들의 요구사항을 고려한 것""이라고 설명했다.다만 인텔은 이 제품의 디자인이나 화면 크기 이외에 구체적인 정보를 제시하지 않았다. 7일 오후 베니션 호텔에서 진행된 쇼케이스에서는 올 하반기 출시될 차세대 코어 프로세서, 타이거레이크(Tiger Lake)가 탑재되었다는 사실만 공개했다.권봉석 기자"
399,김연수 작가가 지난 11일 서울 종로구 네이버파트너스퀘어에서 진행한 서울신문과의 인터뷰 도중 8년 만의 소설 신작인 ‘일곱해의 마지막’을 종이책 발간 한 달 전에 ‘오디오북 연재’로 먼저 공개하게 된 이유에 대해 설명하고 있다.박윤슬 기자
400,"6일 서울 롯데하이마트 서울역점에서 고객들이 데스크탑과 노트북을 살펴보고 있다.신종 코로나바이러스 감염증(코로나19) 여파로 전국 초·중·고 '온라인 개학'이 실시되면서 관련 IT제품 수요가 증가했다.롯데하이마트의 경우 3월 들어 데스크탑과 노트북, 태블릿 매출액이 지난 2월에 비해 약 15% 늘었다. 2020.4.6/뉴스1phonalist@news1.kr"
401,"  오는 27일까지 이베이코리아 빅스마일데이가 펼쳐진다. IT 제조 기업 HP(휴렛팩커드)의 공인 총판 인텍컴퓨터도 빅스마일데이에 참가하여 다양한 할인 혜택을 제공한다고 밝혔다. 이번 빅스마일데이에서 만나볼 수 있는 인텍컴퓨터의 제품은 노트북 'HP 15s-FQ1008TU', 'HP파빌리온 X360 14-DH1150TU' 그리고 일체형PC인 'HP 24-F0153KR'이다. 'HP 15s-FQ1008TU'는 10세대 10nm 공정 프로세서를 CPU로 장착했다. 덕분에 성능 16%와 생산성 41%의 향상을 보인다. 또한 178도의 넓은 광시야각 패널, HP 고속충전 및 빠른 속도의 MVME PCLe SSD 등이 최적화된 작업 환경을 제공해준다. 'HP파빌리온 X360 14-DH1150TU'는 인텔의 최신 10세대 프로세서를 탑재했다. 얇은 두께와 무게는 물론 고화질 디스플레이와 178도의 넓은 광시야각으로 다양한 작업을 쉽게 즐길 수 있다.  또한 360도로 회전하는 독특한 설계 덕분에 노트북, 텐트, 태블릿, 스탠드 모드 총 4가지 모드로 활용이 가능하다. 또한 이 노트북이 갖고 있는 독특한 하나의 특징인 HP 액티브 펜은 바로바로 떠오르는 일정과 아이디어를 표현할 수 있다. 한편 'HP 24-F0153KR'는 10세대 저전력 U보다 빠른 9세대 데스크탑용 T CPU를 탑재한 일체형PC이다. 고성능 프로세서로 향상된 속도를 느껴볼 수 있다. 아울러 시원한 베젤 화면과 고해상도 FHD 디스플레이, 선명한 HP웹캠, 인텔 UHD 630 내장그래픽이 뛰어난 작업환경과 성능을 보여준다. 이번 빅스마일데이 프로모션 기간 동안에 '빅스마일데이 20% 쿠폰', '인텔 쿠폰 10%', 그리고 HP브랜드 쿠폰 7%를 제공하며 이들을 모두 합하면 최대 30%와 40만 원의 혜택을 만나볼 수 있다. 또한 이텍컴퓨터에서도 단독 사은품을 증정한다고 밝혔다. 이텍컴퓨터 관계자는 ""이번 인텔 10세대 HP 노트북과 HP 일체형 PC는 올해 가장 높은 인기를 누린 제품들이다. 이번 빅스마일데이를 통해 좀 더 저렴한 가격에 만나보길 바란다""라고 전했다. 이정호기자    "
402,"LG일렉트릭, 원격 학습용 PC 기부   LS일렉트릭은 코로나19에 따른 온라인 개학으로 원격학습에 어려움을 겪는 학생들을 위해 PC와 태블릿 PC 등 학습용 정보기술(IT) 기기를 기부했다고 20일 밝혔다. 이번 기부는 LS일렉트릭 임직원들의 자발적 모금을 통해 조성한 4200만원의 기금으로 추진됐다. LS일렉트릭은 이와 별도로 지난해부터 어린이 후원을 위한 ‘LSIS와 함께 시작하자’(Let’s Start Together with LSIS) 캠페인의 일환으로 본사와 사업장이 위치한 경기 안양 지역 저소득층 초등학생에게 신학기 책가방과 학용품을 기부하는 사업도 진행하고 있다.  SK이노, 베이징車에 배터리 공급   SK이노베이션 전기차 배터리가 중국 베이징자동차그룹의 프리미엄 전기차 브랜드 아크폭스(ARCFOX) SUV ‘마크5’에 탑재된다. 20일 업계에 따르면 마크5는 SK이노베이션과 베이징자동차, 베이징전공이 합작해 중국 장쑤성 창저우에 설립한 배터리 공장 BEST에서 생산하는 배터리를 적용한다. 마크5는 1회 충전에 최대 450∼500㎞를 달릴 수 있는 3세대 전기차로 올해 하반기에 출시된다.ⓒ 세상을 보는 눈, 세계일보"
403," 유아인과 박신혜 주연의 영화 '#살아있다'가 개봉 5 만에 누적 관객 수 100만명을 돌파했다. 100만 돌파 영화가 나온 것은 2월 이후 처음이다.28일 영화진흥위원회 통합전산망 집계에 따르면, 이날 오후 5시 기준으로 '#살아있다'의 누적 관객 수는 100만1802명을 기록했다.이로써 '#살아있다'는 신종 코로나바이러스 감염증(코로나19) 위기 경보를 '심각' 단계로 격상한 2월 23일 이후 개봉작 중 첫 100만 돌파 영화가 됐다. 이전 100만 관객을 넘긴 '정직한 후보(7일째)'와 '클로젯(11일�)'보다 빠른 속도로 누적 관객 100만명을 넘었다.'#살아있다'는 원인불명 증세의 사람들이 공격을 시작하며 도시가 통제 불능에 빠진 가운데, 데이터, 와이파이, 문자, 전화 등 모든 것이 끊긴 채 홀로 아파트에 고립된 이들이 생존해 나가는 이야기를 그린다.한편 '#살아있다' 주역 유아인과 박신혜는 영화 속 장면을 연상하게 하는 100만 돌파 감사 인증샷을 공개했다. 박신혜는 태블릿 PC를 통해 '100만 돌파 감사합니다'라는 메시지를 전했고, 유아인은 쇼핑백에 ""'#살아있다'와 함께 해주신 100만 관객 여러분 감사합니다""라고 적었다"
404,"  /사진=유세윤 SNS 캡처개그맨 유세윤이 직장인의 월요일을 위트있게 풍자해 화제다.유세윤은 29일 자신의 SNS(소셜네트워크서비스) 인스타그램에 '월요일'이라는 짤막한 단어와 함께 영상 하나를 게시했다. 이 영상에서 유세윤은 회색 정장을 입고 서핑보드를 탄 모습이다. 유세윤은 서핑보드 위에서 태블릿PC를 들고 업무를 보는 듯한 모습을 선보였다. 그는 업무에 열중한 듯한 모습을 보이면서도 자세를 바꿔가며 서핑보드 위에서 중심을 잡았다. 또 회식 음주를 하는 듯한 모습을 보이기도 했다. 영상은 게시 3시간 만에 조회수 15만회를 넘는 등 많은 이들에게 인기를 얻고 있다. 온라인 커뮤니티 등에도 게시물이 퍼지며 화제가 됐다. 유세윤의 영상을 본 누리꾼들은 '월요일의 힘겨움이 잘 녹여진 작품', '형 출근길부터 너무 열심히 일 하시는거 아니냐', '오늘은 일찍 퇴근하게 해주세요', '진짜 천재다' 등의 반응을 보였다. 유세윤은 자막을 통해 서핑보드 위에서의 모습이 연출된 것으로 따라하지 말라고 당부했다. 이동우 기자"
405," 삼성화재는 2020년 손해보험 우수인증설계사 선발 결과 총 6551명의 우수인증설계사를 배출했다고 26일 밝혔다.   이는 전체 보험업계를 통틀어 최대 인원으로, 손해보험사 전체 우수인증설계사 3명 중 1명이 삼성화재 소속인 셈이다.   우수인증설계사 제도는 보험설계사의 전문성 향상을 유도하고 보험상품의 완전판매 및 건전한 모집질서 확립을 위해 2008년 도입됐다.   특히, 손해보험 우수인증설계사로 선발되기 위해서는 한 회사에서 3년이상 꾸준히 활동해야 되며 불완전판매가 단 한 건도 없어야 한다. 또한 보험모집 실적이 우수해야 할 뿐만 아니라, 모집한 보험계약의 13회차 유지율이 90%를 넘어야 한다.   삼성화재는 우수인증설계사 배출을 위해 혁신적인 시스템과 체계적인 교육을 지원해왔다. PC와 태블릿 기능이 합쳐진 갤럭시북을 활용한 업계 최초 24시간 디지털영업지원시스템 구축으로 언제 어디서나 상담부터 계약체결까지 원스톱으로 지원한다.   또한 다양한 컨설팅 프로그램이 담긴 '알파랩'을 통해 고객상담도 편리하게 진행할 수 있다. 생활습관과 가족력을 분석해 주의해야 할 질병과 그에 대비할 수 있는 보험정보를 알려주는 '질병위험분석'은 특허까지 받은 삼성화재의 자랑이다. 사업장의 화재위험을 분석해 최적화된 보험상품을 추천해주는 '비즈니스 컨설팅'과 기업체를 경영하는 고객의 자산관리와 세무, 노무 고민을 풀어줄 '사업자 컨설팅'도 고객 반응이 뜨겁다.   삼성화재는 전문 RC로 활동할 수 있도록 체계적인 교육을 지원하고 있다. 보험을 몰라도 생애설계 컨설팅, 금융상품 전문과정 등 1년간 교육을 통해 보험 전문가로 성장할 수 있다. 또한, 사내 보험전문대학(SSU) 및 성균관대와 연계한 MBA 과정도 운영 중이다.   삼성화재 관계자는 ""앞으로도 소비자보호 및 보험산업 이미지 제고를 위해 설계사 교육프로그램 질을 높여갈 예정""이라며 ""이를 바탕으로 우수인증설계사를 계속해서 늘려나가겠다""고 전했다.   "
406,"올해 처음 우수인증설계사로 선발된 삼성화재 SRA 설계사들이 활짝 웃고 있다.ⓒ삼성화재삼성화재는 올해 손해보험 우수인증설계사 선발 결과 총 6551명의 우수인증설계사를 배출했다고 26일 밝혔다. 이는 전체 보험업계를 통틀어 최대 인원으로, 손해보험사 전체 우수인증설계사 3명 중 1명이 삼성화재 소속인 셈이다. 우수인증설계사는 보험설계사의 전문성 향상을 유도하고 보험상품의 완전판매 및 건전한 모집질서 확립을 위해 2008년 도입된 제도다.손해보험 우수인증설계사로 선발되기 위해서는 한 회사에서 3년 이상 꾸준히 활동해야 하고 불완전판매가 단 한 건도 없어야 한다. 또 보험모집 실적이 우수해야 할 뿐 아니라 모집한 보험계약의 13회차 유지율이 90%를 넘어야 한다.삼성화재는 우수인증설계사 배출을 위해 혁신적인 시스템과 체계적인 교육을 지원해왔다. PC와 태블릿 기능이 합쳐진 갤럭시북을 활용한 업계 최초 24시간 디지털영업지원시스템 구축으로 언제 어디서나 상담부터 계약체결까지 원스톱으로 지원한다.아울러 다양한 컨설팅 프로그램이 담긴 알파랩을 통해 고객상담도 편리하게 진행할 수 있다. 생활습관과 가족력을 분석해 주의해야 할 질병과 그에 대비할 수 있는 보험정보를 알려주는 질병위험분석은 특허까지 받은 삼성화재의 자랑이다. 사업장의 화재위험을 분석해 최적화된 보험상품을 추천해주는 비즈니스 컨설팅과 기업체를 경영하는 고객의 자산관리와 세무, 노무 고민을 풀어줄 사업자 컨설팅도 고객 반응이 뜨겁다.삼성화재는 전문 RC로 활동할 수 있도록 체계적인 교육을 지원하고 있다. 보험을 몰라도 생애설계 컨설팅, 금융상품 전문과정 등 1년간 교육을 통해 보험 전문가로 성장할 수 있다. 또한, 사내 보험전문대학 및 성균관대와 연계한 MBA 과정도 운영 중이다.최근 코로나19 확산으로 집합 교육이 어려워지자 갤럭시북을 기반으로 한 디지털영업지원시스템을 활용해 언제 어디서든 필요한 정보를 습득할 수 있도록 어디서든 정보미팅, 신인RC 역량강화 과정 동영상 콘텐츠 등 다양한 온라인 교육도 활발히 이뤄지고 있다.삼성화재 관계자는 ""앞으로도 소비자보호 및 보험산업 이미지 제고를 위해 설계사 교육프로그램 질을 높여갈 예정""이라며 ""이를 바탕으로 우수인증설계사를 계속해서 늘려나가겠다""고 전했다.데일리안 부광우 기자 "
407,"◆…올해 처음 우수인증설계사로 선발된 삼성화재 SRA 설계사들이 활짝 웃고 있다. 사진=삼성화재 제공삼성화재가 2020년 손해보험 우수인증설계사 선발 결과 모두 6551명의 우수인증설계사를 배출했다고 26일 밝혔다. 이는 전체 보험업계를 통틀어 최대 인원으로 손해보험사 전체 우수인증설계사 3명 중 1명이 삼성화재 소속인 셈이다.우수인증설계사 제도는 보험설계사의 전문성 향상을 유도하고 보험상품의 완전판매 및 건전한 모집질서 확립을 위해 2008년 도입됐다.특히 손해보험 우수인증설계사로 선발되기 위해서는 한 회사에서 3년이상 꾸준히 활동해야 되며 불완전판매가 단 한건도 없어야 한다. 또한 보험모집 실적이 우수해야 할 뿐만 아니라 모집한 보험계약의 13회차 유지율이 90%를 넘어야 한다.삼성화재는 우수인증설계사 배출을 위해 혁신적인 시스템과 체계적인 교육을 지원해왔다. PC와 태블릿 기능이 합쳐진 갤럭시북을 활용한 업계 최초 24시간 디지털영업지원시스템 구축으로 언제 어디서나 상담부터 계약체결까지 원스톱으로 지원한다.또한 다양한 컨설팅 프로그램이 담긴 알파랩을 통해 고객상담도 편리하게 진행할 수 있다. 생활습관과 가족력을 분석해 주의해야 할 질병과 그에 대비할 수 있는 보험정보를 알려주는 질병위험분석은 특허까지 받은 삼성화재의 자랑이다. 사업장의 화재위험을 분석해 최적화된 보험상품을 추천해주는 비즈니스 컨설팅과 기업체를 경영하는 고객의 자산관리와 세무, 노무 고민을 풀어줄 사업자 컨설팅도 고객 반응이 뜨겁다. 삼성화재는 전문 RC로 활동할 수 있도록 체계적인 교육을 지원하고 있다. 보험을 몰라도 생애설계 컨설팅, 금융상품 전문과정 등 1년간 교육을 통해 보험 전문가로 성장할 수 있다. 또한 사내 보험전문대학(SSU) 및 성균관대와 연계한 MBA 과정도 운영 중이다.최근 코로나19 확산으로 집합 교육이 어려워지자 갤럭시북을 기반으로 한 디지털영업지원시스템을 활용해 언제 어디서든 필요한 정보를 습득할 수 있도록 어디서든 정보미팅, 신인RC 역량강화 과정 동영상 콘텐츠 등 다양한 온라인 교육도 활발히 이뤄지고 있다.삼성화재 관계자는 ""앞으로도 소비자보호 및 보험산업 이미지 제고를 위해 설계사 교육프로그램의 질을 높여갈 예정""이라며 ""이를 바탕으로 우수인증설계사를 계속해서 늘려나가겠다""고 말했다.▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)이민재"
408,[디지털데일리 
